STNAME,DEPNDANL,year_start,year_end,wt_var,url
TOTAL,Suppressed,2006,2007,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2006-2007-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ALABAMA,Suppressed,2006,2007,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2006-2007-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ALASKA,Suppressed,2006,2007,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2006-2007-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ARIZONA,Suppressed,2006,2007,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2006-2007-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ARKANSAS,Suppressed,2006,2007,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2006-2007-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
CALIFORNIA,Suppressed,2006,2007,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2006-2007-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
COLORADO,Suppressed,2006,2007,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2006-2007-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
CONNECTICUT,Suppressed,2006,2007,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2006-2007-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
DELAWARE,Suppressed,2006,2007,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2006-2007-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
DISTRICT OFCOLUMBIA,Suppressed,2006,2007,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2006-2007-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
FLORIDA,Suppressed,2006,2007,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2006-2007-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
