STNAME,DEPNDANL,year_start,year_end,wt_var,url
TOTAL,"1,537,000",2012,2013,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2012-2013-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ALABAMA,"26,000",2012,2013,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2012-2013-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ALASKA,"1,000",2012,2013,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2012-2013-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ARIZONA,"29,000",2012,2013,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2012-2013-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ARKANSAS,"22,000",2012,2013,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2012-2013-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
CALIFORNIA,"166,000",2012,2013,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2012-2013-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
COLORADO,"11,000",2012,2013,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2012-2013-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
CONNECTICUT,"2,000",2012,2013,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2012-2013-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
DELAWARE,"5,000",2012,2013,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2012-2013-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
DISTRICT OFCOLUMBIA,"3,000",2012,2013,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2012-2013-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
FLORIDA,"84,000",2012,2013,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2012-2013-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
GEORGIA,"65,000",2012,2013,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2012-2013-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
HAWAII,"6,000",2012,2013,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2012-2013-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
IDAHO,"7,000",2012,2013,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2012-2013-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
