STNAME,UDPYOPI,year_start,year_end,wt_var,url
TOTAL,"2,254,000",2015,2016,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2015-2016-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ALABAMA,"49,000",2015,2016,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2015-2016-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ALASKA,"8,000",2015,2016,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2015-2016-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ARIZONA,"71,000",2015,2016,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2015-2016-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ARKANSAS,"17,000",2015,2016,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2015-2016-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
CALIFORNIA,"219,000",2015,2016,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2015-2016-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
COLORADO,"47,000",2015,2016,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2015-2016-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
CONNECTICUT,"39,000",2015,2016,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2015-2016-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
DELAWARE,"11,000",2015,2016,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2015-2016-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
DISTRICT OFCOLUMBIA,"1,000",2015,2016,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2015-2016-RD02YR?column=UDPYOPI&filter=UDPYOPI%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
