STNAME,DEPNDANL,year_start,year_end,wt_var,url
TOTAL,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ALABAMA,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ALASKA,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ARIZONA,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ARKANSAS,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
CALIFORNIA,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
COLORADO,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
CONNECTICUT,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
DELAWARE,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
DISTRICT OFCOLUMBIA,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
FLORIDA,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
GEORGIA,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
HAWAII,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
IDAHO,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ILLINOIS,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
INDIANA,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
IOWA,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
KANSAS,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
KENTUCKY,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
LOUISIANA,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MAINE,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MARYLAND,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MASSACHUSETTS,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MICHIGAN,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MINNESOTA,Suppressed,2010,2011,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2010-2011-RD02YR?column=DEPNDANL&filter=DEPNDANL%3D1&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
